endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,500,14478,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,4540,abcd,Invalid Date,,
NA,POST,405,300,abcd,Invalid Date,,
NA,POST,405,302,abcd,Invalid Date,,
NA,POST,405,317,abcd,Invalid Date,,
NA,POST,405,369,abcd,Invalid Date,,
NA,GET,200,5166,abcd,Invalid Date,,
NA,POST,405,327,abcd,Invalid Date,,
NA,POST,405,309,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,3343,abcd,Invalid Date,,
